      43,       1,      39,     734,    7994,   37882,   52624,   39208,   24541,   21061,   20577,   20505,   20483,   20480,   20478,   20478,      20,       0,       0,       0
      44,       1,      39,     746,    8412,   40633,   57078,   41851,   26131,   22527,   22048,   21976,   21963,   21961,   21959,   21957,      13,       0,       0,       0
      45,       1,      42,     811,    8991,   43339,   60953,   45201,   27904,   24097,   23612,   23538,   23511,   23506,   23505,   23505,      13,       0,       0,       0
      46,       1,      43,     845,    9788,   48141,   65472,   46454,   29479,   25696,   25240,   25154,   25132,   25129,   25125,   25123,       9,       0,       0,       0
      47,       1,      42,     861,   10264,   51183,   70356,   50059,   31108,   27280,   26932,   26847,   26826,   26821,   26820,   26816,       9,       0,       0,       0
      48,       1,      45,     921,   11046,   55176,   75204,   52655,   32910,   29084,   28704,   28619,   28594,   28592,   28588,   28587,       9,       0,       0,       0
      49,       1,      43,     936,   11596,   58739,   80230,   56185,   34990,   30917,   30558,   30461,   30433,   30431,   30428,   30427,      10,       0,       0,       0
      50,       1,      48,    1003,   12335,   62456,   85741,   59457,   36998,   32873,   32482,   32383,   32363,   32355,   32351,   32349,       4,       0,       0,       0
      51,       1,      44,    1011,   13180,   68296,   90738,   61916,   39022,   34761,   34437,   34369,   34359,   34356,   34352,   34349,      10,       0,       0,       0
      52,       1,      50,    1099,   14232,   73253,   96198,   64692,   41271,   36861,   36531,   36456,   36445,   36442,   36438,   36435,      11,       0,       0,       0
      53,       1,      47,    1106,   14823,   77170,  102237,   69135,   43646,   39004,   38686,   38612,   38604,   38599,   38596,   38592,       7,       0,       0,       0
      54,       1,      49,    1153,   15653,   82429,  108864,   72011,   45993,   41257,   40917,   40858,   40852,   40847,   40844,   40840,       7,       0,       0,       0
      55,       1,      51,    1221,   16628,   86667,  114963,   76770,   48506,   43586,   43268,   43193,   43184,   43179,   43175,   43171,       6,       0,       0,       0
      56,       1,      50,    1232,   17617,   94864,  121707,   78111,   50605,   45992,   45675,   45612,   45603,   45600,   45596,   45595,      11,       0,       0,       0
      57,       1,      53,    1294,   18402,   99352,  129240,   82687,   53204,   48516,   48188,   48127,   48115,   48110,   48106,   48101,       9,       0,       0,       0
      58,       1,      53,    1336,   19445,  105216,  136410,   86904,   55692,   51080,   50795,   50730,   50719,   50709,   50701,   50700,       4,       0,       0,       0
      59,       1,      54,    1387,   20426,  110769,  143470,   91761,   58691,   53813,   53471,   53414,   53406,   53402,   53400,   53394,       6,       0,       0,       0
      60,       1,      55,    1427,   21314,  117050,  151964,   95657,   61327,   56614,   56264,   56210,   56200,   56188,   56181,   56180,       7,       0,       0,       0
      61,       1,      56,    1491,   22724,  126491,  158909,   97972,   64345,   59388,   59121,   59081,   59072,   59066,   59060,   59056,       8,       0,       0,       0
      62,       1,      59,    1549,   23683,  132577,  167972,  102315,   67533,   62446,   62121,   62060,   62048,   62044,   62040,   62036,      11,       0,       0,       0
      63,       1,      54,    1529,   24620,  139356,  176160,  108012,   70615,   65486,   65181,   65134,   65125,   65118,   65112,   65110,      12,       0,       0,       0
      64,       1,      60,    1652,   25982,  146210,  185115,  112574,   74161,   68660,   68353,   68309,   68299,   68294,   68290,   68287,       8,       0,       0,       0
      65,       1,      60,    1663,   26893,  152634,  193800,  119189,   77749,   71941,   71623,   71587,   71573,   71565,   71561,   71560,      10,       0,       0,       0
      66,       1,      60,    1752,   28935,  165679,  201926,  120116,   80505,   75364,   75006,   74968,   74955,   74948,   74945,   74942,       9,       0,       0,       0
      67,       1,      61,    1776,   29765,  172994,  213595,  124971,   83717,   78794,   78505,   78457,   78443,   78435,   78430,   78428,      13,       0,       0,       0
      68,       1,      64,    1862,   31207,  180954,  223966,  130223,   87330,   82412,   82094,   82042,   82029,   82022,   82020,   82019,      10,       0,       0,       0
      69,       1,      62,    1865,   32305,  188446,  234693,  136873,   91038,   86061,   85771,   85746,   85729,   85718,   85716,   85715,       6,       0,       0,       0
      70,       1,      65,    1975,   34019,  196890,  244680,  143101,   94938,   89942,   89586,   89555,   89536,   89529,   89526,   89527,       9,       0,       0,       0
      71,       1,      65,    2012,   35750,  211044,  253498,  145695,   99008,   93820,   93506,   93472,   93458,   93448,   93447,   93446,      11,       0,       0,       0
      72,       1,      66,    2049,   36736,  220697,  265776,  150927,  103148,   97793,   97537,   97507,   97488,   97479,   97479,   97479,      13,       0,       0,       0
      73,       1,      66,    2123,   38601,  229093,  277964,  157515,  107209,  101950,  101682,  101656,  101639,  101627,  101626,  101626,       7,       0,       0,       0
      74,       1,      72,    2203,   39836,  238259,  290437,  164307,  111533,  106244,  105940,  105917,  105904,  105896,  105891,  105889,       6,       0,       0,       0
      75,       1,      65,    2213,   41250,  247340,  302993,  171900,  115944,  110613,  110326,  110297,  110283,  110274,  110271,  110271,       8,       0,       0,       0
