       1,       1,       0,       0,       0
       2,       1,       1,       1,       1,       1,       1,       1
       3,       1,       2,       3,       3,       3,       2,       2,       2,       1
       4,       1,       3,       5,       7,       8,       8,       4,       1,       0
       5,       1,       3,       7,      11,      14,      15,       9,       1,       0
       6,       1,       5,      12,      21,      24,      15,       9,       4,       0
       7,       1,       6,      14,      24,      33,      31,      14,       3,       1
       8,       1,       6,      22,      42,      48,      32,      14,       4,       0
       9,       1,       8,      26,      59,      70,      44,       9,       0,       0
      10,       1,       7,      32,      74,      92,      54,      11,       0,       0
      11,       1,       9,      39,      96,     115,      62,       9,       0,       0
      12,       1,      10,      44,     112,     142,      78,      10,       0,       0
      13,       1,      10,      52,     132,     175,      91,       8,       0,       0
      14,       1,      13,      61,     175,     204,      90,       3,       0,       0
      15,       1,      11,      73,     215,     238,      91,       2,       0,       0
      16,       1,      14,      81,     231,     280,     110,       4,       0,       0
      17,       1,      13,      85,     280,     323,     109,       6,       0,       0
      18,       1,      16,      98,     316,     371,     112,       5,       0,       0
      19,       1,      17,     117,     371,     416,     105,       0,       0,       0
      20,       1,      15,     121,     417,     474,     113,       0,       0,       0
      21,       1,      19,     144,     479,     517,     100,       1,       0,       0
      22,       1,      18,     152,     538,     562,     116,       0,       0,       0
      23,       1,      21,     170,     601,     616,     110,       0,       0,       0
      24,       1,      19,     176,     677,     682,     102,       0,       0,       0
      25,       1,      22,     196,     735,     732,     115,       0,       0,       0
      26,       1,      22,     214,     830,     779,     105,       0,       0,       0
      27,       1,      22,     219,     888,     861,     116,       0,       0,       0
      28,       1,      25,     247,     954,     922,     120,       0,       0,       0
      29,       1,      23,     252,    1061,     984,     116,       0,       0,       0
      30,       1,      27,     296,    1173,    1011,     103,       0,       0,       0
      31,       1,      27,     302,    1258,    1097,     106,       0,       0,       0
      32,       1,      27,     323,    1377,    1158,      91,       0,       0,       0
      33,       1,      28,     333,    1470,    1240,      97,       0,       0,       0
      34,       1,      28,     362,    1590,    1316,      70,       0,       0,       0
      35,       1,      30,     359,    1677,    1417,      87,       0,       0,       0
      36,       1,      31,     397,    1808,    1447,      97,       0,       0,       0
      37,       1,      30,     417,    1928,    1546,      75,       0,       0,       0
      38,       1,      34,     449,    2065,    1603,      67,       0,       0,       0
      39,       1,      33,     466,    2167,    1715,      65,       0,       0,       0
      40,       1,      34,     502,    2352,    1738,      54,       0,       0,       0
      41,       1,      36,     498,    2467,    1860,      59,       0,       0,       0
      42,       1,      35,     552,    2600,    1920,      59,       0,       0,       0
      43,       1,      38,     569,    2773,    1967,      71,       0,       0,       0
      44,       1,      37,     599,    2935,    2048,      57,       0,       0,       0
      45,       1,      41,     630,    3058,    2154,      57,       0,       0,       0
      46,       1,      39,     654,    3231,    2239,      47,       0,       0,       0
      47,       1,      40,     690,    3441,    2277,      38,       0,       0,       0
      48,       1,      42,     719,    3632,    2332,      43,       0,       0,       0
      49,       1,      41,     712,    3755,    2510,      38,       0,       0,       0
      50,       1,      45,     784,    3942,    2537,      42,       0,       0,       0
      51,       1,      42,     796,    4223,    2564,      25,       0,       0,       0
      52,       1,      46,     828,    4339,    2705,      38,       0,       0,       0
      53,       1,      46,     872,    4581,    2737,      32,       0,       0,       0
      54,       1,      46,     890,    4748,    2877,      25,       0,       0,       0
      55,       1,      47,     933,    4940,    2964,      26,       0,       0,       0
      56,       1,      46,     942,    5190,    3041,      21,       0,       0,       0
      57,       1,      53,    1037,    5446,    3027,      13,       0,       0,       0
      58,       1,      48,    1003,    5578,    3266,      23,       0,       0,       0
      59,       1,      51,    1066,    5857,    3286,       6,       0,       0,       0
      60,       1,      52,    1115,    6092,    3344,      17,       0,       0,       0
      61,       1,      52,    1101,    6310,    3506,      11,       0,       0,       0
